Word,Definitions,Word length,Number of Syllables,Word Frequency,Difficulty
grant,to give or let someone do what they want,5,1,4.67,easy
stupid,lacking the ability to learn easily; not intelligent,6,2,4.94,medium
shore,land along the edge of an area of water,5,1,4.33,hard
coast,land near the sea or ocean,5,1,4.87,easy
estate,land that a person owns,6,2,4.82,medium
big,large,3,1,5.67,easy
green,color of young leaves,5,1,5.13,easy
wealth,large amount of money and possessions,6,1,4.51,hard
ocean,large body of salt water that covers most of the surface of the earth,5,2,4.7,hard
ground,solid surface of the earth that we stand on,6,1,5.15,hard
long,large distance from one end to the other,4,1,5.81,easy
cow,large farm animal from which we get milk and beef,3,1,4.14,hard
growth,act of growing,6,1,5.03,hard
guarantee,to make a formal promise that something will happen or be done.,9,3,4.44,hard
guess,to give an answer without knowing if it is correct,5,1,5.17,easy
guest,person invited to visit or stay in someone's home,5,1,4.58,hard
guide,to lead people visiting a new or unknown place,5,1,4.75,easy
substantial,"large in amount, quantity, or size",11,3,4.33,hard
considerable,"large in size, amount, or effect",12,5,4.25,hard
guy,informal man; boy; any person,3,1,5.4,easy
hair,long thin strands on your head or body,4,1,5.08,easy
extensive,large; full or complete,9,3,4.49,hard
maximum,largest or greatest,7,3,4.6,medium
handle,to have the ability to cope with or take responsibility for,6,2,4.79,medium
permanent,lasting forever; not temporary or changing,9,3,4.57,hard
after,"later than another time, or behind something",5,2,6.11,hard
happy,feeling pleasure or joy; glad,5,2,5.35,hard
discovery,learning something for the first time,9,4,4.45,hard
divorce,legal ending of a marriage,7,2,4.36,medium
hardly,clearly or undoubtedly not; very little,6,2,4.53,medium
power,legal or official right to perform certain actions,5,2,5.52,hard
ownership,legal right to have something belong to you,9,3,4.4,hard
hate,to have a very strong feeling of dislike for,4,1,5.11,easy
secondary,less important than something else,9,4,4.53,hard
pale,light in color,4,1,4.08,hard
comedy,"light or funny play or film, usually with a happy ending",6,3,4.51,medium
health,being in a good condition; being well,6,1,5.44,hard
healthy,in good condition physically (or financially); not ill or bad,7,2,4.8,medium
probably,likely to happen or be true,8,3,5.37,hard
heart,part of the body that pumps blood,5,1,5.31,easy
heat,to make hot or hotter ,4,1,4.86,easy
medicine,liquid or pills used to treat illness or pain; the study of treating illness or pain,8,3,4.73,medium
heavy,having a lot of weight,5,2,4.96,hard
menu,list of dishes available at a restaurant,4,2,4.26,hard
catalog,list of items that are available for purchase,7,3,3.91,hard
small,little in size; not big,5,1,5.51,easy
somewhat,"little, not very",8,2,4.55,medium
alive,living; not dead,5,2,4.76,hard
around,"located on every side, or along something",6,2,5.77,hard
knife,long piece of metal you use for cutting things,5,1,4.41,hard
herself,female person that did the original action,7,2,4.78,medium
nerve,long thin cells in the body that makes feeling and movement possible,5,1,4.19,hard
tube,"long, hollow object",4,1,4.36,hard
hide,to put a thing where it can't be found; go where you won't be found,4,1,4.54,hard
valley,"long, low area between hills or mountains, often with a river running through it",6,2,4.72,medium
highly,more than usual; to a great degree,6,2,4.89,medium
rail,"long, thin piece of metal",4,1,4.41,hard
himself,the same (male) person who did the action,7,2,5.25,hard
mortgage,long-term loan from a bank for buying property,8,2,4.39,medium
tender,loving and gentle,6,2,4.09,hard
minimum,lowest number or amount that is possible,7,3,4.69,medium
printer,machine that makes copies of papers and documents,7,2,3.93,hard
hit,"to fight, attack or damage something or someone",3,1,5.37,easy
golden,"made of valuable, heavy, yellow metal",6,2,4.67,medium
wooden,made of wood,6,2,4.33,hard
hole,opening into or through something,4,1,4.66,easy
holiday,day when people don't go to work or school,7,3,4.66,medium
prime,main; most important; best quality,5,1,4.81,easy
implementation,"making a law, system, or plan start to happen or be used",14,5,4.31,hard
loud,making a lot of noise,4,1,4.53,hard
quietly,making little sound,7,3,4.15,hard
reduction,making something smaller; reducing something,9,3,4.39,hard
attractive,"making you like them, as by being good-looking",10,3,4.53,hard
person,"man, woman, or child",6,2,5.55,hard
horse,large animal with 4 legs used for riding,5,1,4.76,easy
hospital,"building for sick people, with doctors and nurses",8,3,5.07,hard
hot,having a high temperature,3,1,5.16,easy
multiple,many things or people,8,3,4.92,medium
often,"many times, frequently, on many occasions",5,2,5.41,hard
fuel,material used to produce heat or power when burned,4,2,4.72,hard
huge,very very large,4,1,5.06,easy
human,"a person; a man, woman or child",5,2,5.35,hard
capability,"means, ability, or potential to do something",10,5,4.07,hard
dimension,"measurement of length, width, or height",9,3,4.02,hard
surgery,medical treatment in which a doctor cuts into a body,7,3,4.63,medium
husband,married man,7,2,5.0,medium
letter,message you put in an envelope and send by post,6,2,4.95,medium
salary,money an employee is paid each year,6,3,4.36,medium
compensation,money given or received as payment for loss,12,4,4.33,hard
identify,to indicate who or what someone or something is,8,4,4.56,hard
deposit,"money that is given for a special purpose such as proof that you will buy something, or as savings in a bank",7,3,4.24,hard
ignore,"to not listen to, look at, or pay attention to",6,2,4.48,medium
evil,morally bad; causing harm to someone,4,2,4.74,hard
increasingly,more and more; in greater degree or amount,12,4,4.38,hard
several,more than two but not many,7,2,5.39,hard
mom,mother,3,1,5.12,easy
grandmother,mother of your mother or father,11,3,4.14,hard
up,move higher; raise,2,1,6.39,easy
immediately,without any delay; straight away; right (after or before),11,5,4.98,hard
to,move towards; in the direction of,2,1,7.43,easy
promotion,moving someone to a more important position,9,3,4.41,hard
very,much; great in amount,4,2,6.0,hard
strict,must be obeyed,6,1,4.23,hard
salt,natural white substance used to flavor or preserve food,4,1,4.6,hard
together,near close in the same place not far in a family or group,8,3,5.46,hard
importance,being important; having a big effect on,10,3,4.56,hard
by,near; with,2,1,6.66,easy
impossible,very unlikely to happen or exist,10,4,4.78,hard
most,nearly all of something,4,1,6.0,easy
vital,necessary,5,2,4.38,hard
thirst,need for something to drink,6,1,3.64,hard
improve,"to make, or become, something better",7,2,4.79,medium
improvement,addition or change that makes something better,11,3,4.49,hard
innovation,new invention or idea that is created,10,4,4.32,hard
close,next to; only a short distance away,5,1,5.36,easy
anymore,no longer; no more,7,3,4.94,medium
silence,no sound or noise,7,2,4.46,medium
illegal,not allowed by the laws or rules,7,3,4.68,medium
nothing,"not anything, not a single thing",7,2,5.55,hard
unable,not being able to do something,6,3,4.61,medium
indeed,actually; in fact; in reality,6,2,4.79,medium
unlikely,not being likely to happen or not likely to be the truth,8,3,4.31,hard
independent,making your own decisions; not controlled by others,11,4,4.93,hard
crazy,not being sensible or practical,5,2,5.07,hard
within,"not beyond the limits of a particular space, time, or range",6,2,5.44,hard
individual,"single person, looked at separately from others",10,5,5.0,hard
industry,factories or businesses that make certain products,8,3,5.19,hard
dirty,not clean,5,2,4.55,hard
open,not closed or shut,4,2,5.48,hard
rare,not common or usual,4,1,4.77,easy
influence,to affect what happens; change something (indirectly),9,3,4.78,hard
inform,to give information or facts about something,6,2,4.15,hard
never,not ever; not at any time,5,2,5.91,hard
initial,existing or occurring at the beginning,7,3,4.72,medium
unknown,not familiar or famous,7,2,4.53,medium
nearby,not far away,6,2,4.55,medium
bad,not good; wrong,3,1,5.53,easy
little,"not great in size, amount, or degree; small",6,2,5.75,hard
innocent,not having done anything wrong or bad,8,3,4.45,medium
light,not heavy; weighing only a little,5,1,5.33,easy
away,not here; far from here; in a different direction,4,2,5.62,hard
low,"not high; being near the ground, or bottom",3,1,5.33,easy
inside,being in something,6,2,5.19,hard
badly,not in a good way; not as wanted or liked,5,2,4.44,hard
nowhere,not in or at any place; no place,7,2,4.4,medium
confusion,not knowing what to do,9,3,4.19,hard
instance,an example of something; case,8,2,4.59,medium
instead,when one thing is replaced by another,7,2,5.24,hard
institution,organization created for a particular cause or purpose,11,4,4.41,hard
lazy,not liking to work or make an effort,4,2,4.24,hard
few,not many; small in number,3,1,5.6,easy
insurance,payments to cover potential loss/damage/injury/death,9,3,4.94,hard
pure,not mixed with anything else,4,1,4.64,hard
different,not of the same kind; unlike other things,9,3,5.59,hard
new,"not old, recently born, built, or made",3,1,6.25,easy
intend,to plan or want to do something,6,2,4.09,hard
fancy,"not plain or ordinary, expensive",5,2,4.35,hard
false,not real or true,5,1,4.63,hard
rough,"not smooth, gentle, or careful",5,1,4.49,hard
minor,"not so large in size, not important or valuable",5,2,4.62,hard
internal,within or inside,8,3,4.66,medium
international,"done or relating to several countries, not just your own",13,5,5.36,hard
silent,not speaking or making noise,6,2,4.45,medium
ordinary,"not special, different, or unusual",8,4,4.42,hard
thin,not thick; not wide in size,4,1,4.47,hard
interview,to formally ask questions about a given topic,9,3,4.86,hard
loose,not tightly attached or held,5,1,4.46,hard
introduce,to make someone known to another by name,9,3,4.37,hard
introduction,making someone known to another by name,12,4,4.52,hard
occasionally,not very often; sometimes; seldom,12,5,4.39,hard
invest,to use resources to build for the future,6,2,4.32,hard
investigate,to try to find out facts; to carry out research,11,4,4.31,hard
investigation,search for information about something,13,5,4.75,hard
investment,something purchased hoping its value will increase,10,3,4.84,hard
ill,not well; sick,3,1,4.72,easy
invite,to ask someone to go somewhere or do something,6,2,4.3,hard
one,number 1,3,1,6.47,easy
group,number of people or things gathered together,5,1,5.57,easy
island,area of land that is surrounded by water,6,2,5.01,medium
density,number of people or things in a particular area,7,3,4.33,hard
age,number of years a person has lived (also of things),3,1,5.32,easy
item,"distinct, individual thing, often part of a group",4,2,4.57,hard
itself,referring to it,6,2,5.1,hard
he,object form of a male person you are talking about,2,1,6.69,easy
gradually,occurring in a slow manner over a period of time,9,4,4.21,hard
join,"to bring something close to another, to become one",4,1,5.0,easy
monthly,occurring twelve times a year,7,2,4.5,medium
weird,odd or unusual,5,1,4.81,easy
about,of (a subject); concerning,5,2,6.4,hard
democratic,of democracy; entitling the people to power,10,4,4.73,hard
intellectual,of or relating to the ability to think in a logical way and understand complicated ideas and subjects,12,5,4.3,hard
judge,to form an opinion after careful consideration,5,1,4.95,easy
judgment,opinion that is made after careful consideration,8,2,4.28,hard
jump,to push your body into the air with your legs,4,1,4.69,easy
brown,"of the color of coffee, wood, or chocolate",5,1,5.01,easy
qualification,official record proving a certain standard or level,13,5,3.88,hard
frequently,often; regularly,10,3,4.56,hard
fat,oily part of meat,3,1,4.85,easy
right,on side where the hand that most people write with,5,1,5.96,easy
today,on this day; at the time that is happening now,5,2,5.55,hard
key,something you use to open a lock or start a car,3,1,5.12,easy
kid,informal child or young person,3,1,4.99,easy
kill,to end the life of a person or other living thing,4,1,5.09,easy
a,one (of something),1,1,7.36,easy
any,one (thing) of many; some (thing),3,2,6.07,hard
kitchen,place where food is cooked,7,2,4.65,medium
another,one more (thing); additional (thing),7,3,5.74,hard
again,"one more time, once more",5,2,5.7,hard
ski,one of a pair of long flat boards attached to boots for moving smoothly over snow,3,1,4.13,hard
knowledge,"information, understanding, or skill",9,2,4.96,hard
labor,to work hard (often physically) for many hours,5,2,4.77,hard
planet,one of the bodies that orbit the sun,6,2,4.68,medium
lack,"to not have, or not have enough, of something",4,1,4.92,easy
land,the earth; the ground,4,1,5.22,easy
either,one of two (used when there is a choice of two),6,2,5.33,hard
once,one time; one instance,4,1,5.53,easy
largely,in large part; mainly or chiefly,7,2,4.61,medium
kind,one type of thing,4,1,5.45,easy
laugh,to make a happy sound when something is funny,5,1,4.66,easy
almost,"only a little less than, nearly, not quite",6,2,5.39,hard
launch,to put a rocket into the air; put a ship into the water,6,1,4.69,hard
law,system or rules made by the government,3,1,5.46,easy
lay,to put or set something down in a flat position,3,1,4.64,hard
merely,"only, simply, or nothing more than",6,2,4.37,medium
just,only; a short time ago,4,1,6.43,easy
liberal,open to new ideas; believing government should actively support social needs,7,3,4.66,medium
leader,person who is in charge of a group or task,6,2,4.95,medium
leadership,quality of being able to guide or influence others,10,3,4.77,hard
electronic,operating by use of electricity; digital,10,4,4.55,hard
folk,ordinary people,4,1,4.22,hard
civilian,ordinary person who is not in the army,8,3,4.23,hard
charity,"organization providing help to the needy, the sick",7,3,4.45,medium
supplier,organization that provides a product or service,8,3,3.84,hard
establishment,"organization, institution, or place to do business",13,4,4.42,hard
base,origin or start from which something came,4,1,5.05,easy
left,side of your body your heart is on,4,1,5.62,easy
leg,part of the body from the thigh down,3,1,4.66,easy
legal,concerning the law; allowed by law,5,2,5.08,hard
besides,other than or in addition to,7,2,4.63,medium
forth,"out of a place; forward in time, place, or way",5,1,4.4,hard
length,measurement of distance or of time,6,1,4.77,hard
yard,outdoor area or garden next to a house,4,1,4.57,hard
external,outside of something,8,3,4.52,medium
panic,overwhelming feeling of fear and anxiety,5,2,4.26,hard
portrait,"painting, drawing, or photograph of a person's head and shoulders",8,2,4.22,hard
pink,pale red color,4,1,4.52,hard
library,place where books and other media are kept,7,3,4.86,medium
lie,to say something that you know is not true,3,1,4.84,easy
lift,to move something to higher position,4,1,4.5,hard
segment,part divided from the other parts of something,7,2,4.26,hard
share,"part of a company you own, shown by a certificate",5,1,5.2,easy
likely,referring to the chance that something will actually happen,6,2,5.2,hard
limit,point beyond which it is not possible to go,5,2,4.7,hard
portion,part of a whole,7,2,4.53,medium
link,to join or connect together,4,1,4.99,easy
wing,part of an animal's body that is used for flying,4,1,4.61,hard
list,"series of written names, words or numbers",4,1,5.28,easy
listen,to use your ears to hear and understand things,6,2,5.06,hard
mind,part of humans that allows us to think or feel,4,1,5.41,easy
neck,part of the body joining the head and the body,4,1,4.63,hard
eye,part of the body that you see with,3,1,5.02,easy
literature,"writings that are valued as works of art, esp. fiction, drama and poetry",10,4,4.62,hard
nose,part of the face used for breathing and smelling,4,1,4.51,hard
tongue,part of the mouth that tastes food and is used for speaking,6,1,4.37,hard
load,"large, often heavy, amount of something to be moved",4,1,4.58,hard
module,part or unit with a specific job,6,2,3.89,hard
location,particular position or area,8,3,4.86,medium
fragment,part that is broken off of something,8,2,3.55,hard
emphasis,particular importance to the way something is said,8,3,4.19,hard
ideal,perfect; most suitable; best possible,5,2,4.44,hard
week,"period of seven days, starts on Sunday and end on Saturday",4,1,5.56,easy
gay,person attracted to someone of the same sex,3,1,4.9,easy
immigrant,person moving to another country to live there,9,3,4.04,hard
loss,experience or state of failing to have or keep,4,1,5.07,easy
hero,person of great courage and strength who saves others,4,2,4.68,hard
peer,"person of the same age, class, or background as another",4,1,4.14,hard
lovely,attractive or beautiful,6,2,4.74,medium
employer,person or firm that pays people to work for them,8,3,4.22,hard
member,person or thing belonging to a group or team,6,2,5.18,hard
substitute,person or thing that takes the place of something,10,3,4.17,hard
you,person someone is speaking or writing to,3,1,6.98,easy
lunch,light meal eaten in the middle of the day,5,1,4.66,easy
student,person studying at school,7,2,5.02,hard
machine,piece of equipment used to do work,7,2,4.9,medium
athlete,person trained to compete in sports,7,2,4.11,hard
magazine,weekly or monthly publication with pictures and stories,8,3,4.74,medium
champion,person who fights for or supports strongly,8,3,4.62,medium
main,most important; most often used,4,1,5.24,easy
mainly,mostly; usually; being the largest part,6,2,4.6,medium
maintain,"to keep, exist or continue without changing",8,2,4.65,medium
governor,person who leads a state or province,8,3,4.71,medium
major,"important, serious, or large in scope",5,2,5.3,hard
majority,amount that is more than half of a group,8,4,4.94,hard
holder,person who owns or has received something,6,2,4.21,hard
specialist,person who works in one specific area of a field or profession,10,3,4.28,hard
male,characteristic of boys or men,4,1,4.89,easy
poet,person who writes poems,4,2,4.21,hard
manage,to run or operate a business by directing others,6,2,4.54,medium
management,people who are in control of a business or group,10,3,5.13,hard
manager,person who controls and runs a business or group,7,3,4.97,medium
manner,that way that something happens or is done,6,2,4.55,medium
manufacture,to produce large numbers of products in a factory,11,4,3.98,hard
friend,person who you like and enjoy being with,6,1,5.37,hard
map,picture showing the geography of an area,3,1,4.76,easy
maker,"person, company, or object that creates things",5,2,4.23,hard
mark,to make or leave a visible sign on something; a writing symbol,4,1,5.05,easy
this,"person, thing, or idea near you",4,1,6.82,easy
marriage,formal relationship between a husband and a wife,8,2,4.91,medium
marry,to become the husband or wife of someone,5,2,4.4,hard
personality,person's character; the way that a person usually acts,11,5,4.55,hard
match,a sports competition between two people or teams,5,1,5.13,easy
parent,person's mother or father,6,2,4.57,medium
material,substance from which a thing is made of,8,4,4.95,hard
injury,physical or emotional harm or damage that a person experiences,6,3,4.74,medium
illustration,picture that helps explain something,12,4,3.92,hard
curtain,piece of cloth used to cover a window,7,2,3.86,hard
flag,"piece of cloth, frequently marked with a colorful symbol or sign",4,1,4.58,hard
skirt,piece of clothing for the lower body worn by women,5,1,3.96,hard
maybe,possibly but not certainly; perhaps,5,2,5.45,hard
tissue,"piece of thin, soft paper",6,2,4.32,hard
gate,place in a fence which can be opened or closed,4,1,4.47,hard
stomach,place in the body where food is broken down so your body can use it,7,2,4.42,medium
measure,"to calculate size, weight or temperature of",7,2,4.65,medium
center,place in the middle of something,6,2,5.19,hard
jail,place to hold criminals being punished for a crime,4,1,4.62,hard
gallery,place to look at various types of art,7,3,4.49,medium
medical,of or relating to physical health or medicine,7,3,5.16,hard
home,place where a person or a family lives,4,1,5.81,easy
medium,"middle size, something between other things",6,3,4.61,medium
intention,"plan, aim, or purpose",9,3,4.33,hard
program,planned set of actions; a schematic system,7,2,5.27,hard
grass,"plants with narrow green leaves, grown on lawns",5,1,4.38,hard
memory,something that has been remembered,6,3,4.81,medium
musical,play or movie set to music,7,3,4.51,medium
mention,to refer to or talk or write about something,7,2,4.73,medium
opera,play with music in which all the words are sung,5,2,4.27,hard
proud,pleased because of something you have done,5,1,4.78,easy
poetry,poetic writing; imaginative verses,6,3,4.4,medium
tent,portable cloth shelter used outdoors,4,1,4.05,hard
message,piece of information that is told/given to someone,7,2,5.0,medium
approval,positive opinion of something or someone,8,3,4.5,medium
implication,possible effects or results from an action or event,11,4,3.56,hard
method,organized and planned way of doing something,6,2,4.8,medium
middle,place that is halfway between two things,6,2,5.18,hard
vessel,"pot, container",6,2,4.27,hard
mile,unit of distance; 1.6 kilometers,4,1,4.59,hard
military,concerning soldiers or the armed forces,8,4,5.2,hard
passion,"powerful, positive feeling about something",7,2,4.44,medium
mine,that thing that belongs to me,4,1,5.04,easy
conservative,preferring traditional styles and values,12,4,4.61,hard
minister,an official who heads a government department,8,3,5.04,hard
cost,price you pay for something,4,1,5.24,easy
matter,problem or reason for concern,6,2,5.38,hard
formation,"process of creating, or making into a particular shape",9,3,4.49,hard
publication,process of producing a book or magazine,11,4,4.45,hard
mix,to combine two or more things to make one,3,1,4.71,easy
recovery,process of returning to a former state after problems,8,3,4.58,medium
interaction,process of two or more people or things affecting each other,11,4,4.29,hard
market,public event where people sell goods on tables,6,2,5.29,hard
withdraw,pull back; move away or backward from something,8,2,4.05,hard
modern,of the present time; up to date; contemporary,6,2,5.07,hard
penalty,punishment for committing a crime or offense,7,3,4.45,medium
justice,"quality of being fair, equal, or just",7,2,4.97,medium
humor,quality of being funny,5,2,4.19,hard
beauty,quality of being physically or visually attractive,6,2,4.75,medium
monitor,electronic screen on which you can see images,7,3,4.37,medium
charm,quality of making people like you; attractiveness,5,1,4.12,hard
darkness,quality of no or little light,8,2,4.3,hard
stability,quality of not being easily moved or changed,9,4,4.31,hard
weakness,quality of not being powerful or strong,8,2,4.19,hard
moreover,in addition to what has been said,8,3,4.16,hard
tendency,quality that something happens or someone behaves in a particular way,8,3,3.96,hard
scope,range of things that something includes,5,1,4.26,hard
mostly,in large part; mainly or chiefly,6,2,4.83,medium
class,"rank or level in society, ranked from high (rich professional people) to low (ordinary people)",5,1,5.36,easy
resistance,refusal to accept something new or different,10,3,4.55,hard
state,"region within a country, with its own government",5,1,5.78,easy
pension,regular payments you receive after you retire,7,2,4.22,hard
job,regular work of earning money,3,1,5.5,easy
emotional,related to deep feelings,9,4,4.66,hard
mountain,"very high piece of land, higher than a hill",8,2,4.73,medium
mouth,part of the face used for eating and talking,5,1,4.83,easy
academic,related to education or school; (n) educator who works at a college or university,8,4,4.57,hard
movement,part of a piece of music,8,2,4.97,medium
movie,motion picture; film,5,2,5.16,hard
criminal,related to illegal activity; (n) a person who has done a crime,8,3,4.75,medium
scientific,related to science,10,4,4.67,hard
murder,crime of deliberately killing a person,6,2,4.86,medium
romantic,related to strong feelings of love between two people,8,3,4.43,medium
museum,"building to display art, science, or history objects",6,3,4.71,medium
clinical,related to the examination and treatment of patients,8,3,4.51,medium
structural,related to the way something is built or organized,10,3,4.18,hard
local,"relating or restricted to a particular area, city, or town",5,2,5.43,hard
racial,relating to a person's group based on inherited physical appearance,6,2,4.3,hard
myself,same person as did the action mentioned,6,2,5.31,hard
rural,"relating to parts of a country that are outside towns and cities, with fields, woods, etc.",5,2,4.59,hard
educational,relating to teaching in a school,11,5,4.6,hard
fundamental,relating to the most important parts of something,11,4,4.33,hard
nation,area or region controlled by a government and army,6,2,4.88,medium
national,concerning a nation as a whole,8,3,5.51,hard
presidential,relating to the president ,12,4,4.52,hard
natural,not made by humans; without human intervention,7,3,5.11,hard
calm,relaxed and not worried or angry,4,1,4.54,hard
nature,"physical world, including plants, animals, rocks",6,2,4.98,medium
near,with a small distance between things,4,1,5.29,easy
inquiry,request for information,7,3,4.25,hard
nearly,not completely; almost,6,2,5.0,medium
necessarily,"in a way that is needed or required, or is unavoidable",11,5,4.48,hard
necessary,needed or required; unavoidable,9,4,4.91,hard
honor,respect given to someone who is admired,5,2,4.69,hard
permission,right to do something as allowed by another,10,3,4.5,hard
high,rising upward a great distance,4,1,5.75,easy
moon,round object circling the earth at night,4,1,4.7,easy
guideline,"rule, instruction, or principle",9,2,3.25,hard
neighbor,"person who lives, or is near, you",8,2,4.11,hard
grammar,rules that explain how words are used in a language,7,2,4.17,hard
acceptable,satisfactory; good enough,10,4,4.27,hard
too,say that something is more than you want,3,1,5.95,easy
network,system of connections,7,2,5.02,hard
complaint,saying something is wrong and should be changed,9,2,4.32,hard
autumn,"season when the weather is getting colder, between summer and winter",6,2,4.26,hard
news,information about recent events,4,1,5.44,easy
newspaper,sheets of paper (or online) containing news stories,9,3,4.6,hard
paragraph,section of writing that usually deals with one subject,9,3,4.03,hard
nice,good or enjoyable,4,1,5.37,easy
grain,seeds of plants used for food,5,1,4.18,hard
period,set amount of time during which events take place,6,3,5.21,hard
nobody,no person; no one; not any person,6,3,4.95,medium
nor,used to show two things that are both untrue or do not happen,3,1,4.78,easy
normal,standard or regular way of doing something,6,2,5.01,medium
normally,in the manner that is usual or ordinary,8,3,4.57,medium
north,direction to your left when facing the rising sun,5,1,5.34,easy
religion,set of beliefs about a god or gods,8,3,4.74,medium
system,"set of organized, planned ideas that work together",6,2,5.56,hard
apartment,set of rooms to live in on one floor of a building,9,3,4.65,hard
mutual,shared between two or more people,6,3,4.26,hard
notice,"to become aware by sight, touch, or hearing",6,2,4.9,medium
essay,short written work that displays someone's opinions or beliefs regarding a particular subject,5,2,4.23,hard
episode,show which is part of a larger story,7,3,4.97,medium
novel,written fiction story,5,2,4.63,hard
alongside,side by side with something,9,3,4.45,hard
plain,simple; easy to understand; clear,5,1,4.43,hard
aunt,sister of your father or mother or the wife of your uncle,4,1,4.16,hard
nuclear,concerning or involving the center of an atom,7,3,4.73,medium
mere,small and unimportant,4,1,4.13,hard
town,small city,4,1,5.24,easy
nurse,person trained to care for sick or injured people,5,1,4.4,hard
object,to disagree; to protest against an idea or plan,6,2,4.56,medium
objective,something you decide you want to do; goal,9,3,4.36,hard
pocket,small cloth bag sewn into clothing to hold things,6,2,4.48,medium
stamp,small piece of paper you buy to put on a letter that you mail,5,1,4.11,hard
observe,to watch carefully; to make a comment ,7,2,4.06,hard
obvious,easily understood and clear; plain to see,7,3,4.63,medium
obviously,in a way that is obvious/easy to see or understand,9,4,4.8,hard
bit,small piece of something,3,1,5.37,easy
stream,small river,6,1,4.62,hard
occur,to come to pass or to happen,5,2,4.47,hard
cap,"small, soft hat often with a front visor or shade",3,1,4.51,hard
less,smaller in amount or degree,4,1,5.49,easy
cheek,"soft skin on each side of the face, below the eyes",5,1,3.96,hard
snow,soft white pieces of frozen water falling from the clouds,4,1,4.66,easy
answer,solution to a problem or test question,6,2,5.17,hard
officer,person with an important position in an organization,7,3,5.03,hard
official,of or done by someone in authority; formal,8,3,5.14,hard
part,"some, but not all of a specific thing",4,1,5.78,easy
oil,"thick, black liquid in the ground used as fuel",3,1,5.1,easy
okay,yes; alright,4,2,5.06,hard
prisoner,someone kept in a prison as punishment for a crime,8,3,4.2,hard
dealer,someone who buys things to sell to others,6,2,4.19,hard
designer,someone who creates plans to make something,8,3,4.42,medium
pro,someone who earns money doing something they are particularly good at,3,1,4.94,easy
buyer,someone who gets something by paying money for it,5,2,4.03,hard
politician,someone who is active in politics,10,4,4.16,hard
slave,someone who is legally owned by another person,5,1,4.31,hard
operate,to be working or being used,7,3,4.5,medium
operation,functioning; use,9,4,4.92,hard
shareholder,someone who owns a part of a corporation,11,3,3.63,hard
opinion,a person's thoughts on a topic,7,3,4.94,medium
opportunity,time/situation when a thing might be done; chance,11,5,4.95,hard
opposite,across from or on the side facing something,8,3,4.62,medium
listener,someone who pays attention to what is said,8,3,3.52,hard
option,possibility out of several that can be chosen; choice,6,2,4.8,medium
historian,someone who studies or writes about the course of history,9,4,3.9,hard
ally,"someone who supports, helps, or defends you",4,2,4.1,hard
operator,"someone who uses and controls something, usually equipment",8,4,4.32,hard
enemy,someone who wants to harm another,5,3,4.7,hard
organization,formal group of people with a particular purpose,12,5,4.92,hard
volunteer,someone who works willingly without pay,9,3,4.28,hard
mate,"someone who you work, live, or go to school with",4,1,4.55,hard
otherwise,"indicates that there will be a bad result if something is done, not done, or done improperly",9,3,4.88,hard
ought,what is expected; should,5,1,4.35,hard
reporter,"someone whose job is to write and report news for a newspaper, magazine, television, or radio station",8,3,4.35,hard
stranger,someone you do not know,8,2,4.28,hard
supplement,something added to another thing to make it better,10,3,4.03,hard
variation,something almost the same as another but different,9,4,4.08,hard
problem,something difficult to deal with or causes trouble,7,2,5.4,hard
outside,"area around or near something, such as a building",7,2,5.25,hard
other,something else; not the first one,5,2,6.16,hard
overall,"viewed as a whole; in general, not as details",7,3,4.9,medium
luxury,something expensive or costly that is not needed which is bought for pleasure,6,3,4.35,hard
achievement,something good that you have successfully done,11,3,4.36,hard
mixture,something made by combining two or more things,7,2,4.18,hard
impressive,something makes someone admire or respect,10,3,4.47,hard
owner,person who owns or has something,5,2,4.83,hard
time,"something measured in minutes, hours, days, etc.",4,1,6.29,easy
pack,to put things in a suitcase to go on a trip,4,1,4.66,easy
page,one side of a sheet of paper,4,1,5.12,easy
pain,strong feeling of hurt or discomfort,4,1,5.03,easy
paint,to apply something; coat,5,1,4.52,hard
exception,something not included in or different from a group of things,9,3,4.35,hard
hat,something people wear to cover their heads for fashion or protection,3,1,4.53,hard
paper,pages of a book are made from this,5,2,5.07,hard
classic,something popular or famous for a long time and is considered one of the best of its kind,7,2,4.72,medium
biological,something related to life and living things,10,5,4.31,hard
disaster,something that causes a lot of harm or damage,8,3,4.39,medium
park,to put your car or bike in a certain place for a time,4,1,5.16,easy
burden,"something that causes worry, difficulty, or hard work",6,2,4.23,hard
participate,to take part with others in doing something,11,4,4.42,hard
incentive,something that encourages a person to work hard,9,3,3.97,hard
particular,one specific (one),10,4,5.0,hard
particularly,specially; more than others,12,5,4.96,hard
smooth,something that feels pleasant and flat when you touch it; not rough,6,1,4.4,hard
partner,someone you have a business or personal relationship with,7,2,4.84,medium
outcome,"something that happens as a result, consequence",7,2,4.35,hard
pass,to travel through or near a place,4,1,5.05,easy
composition,something that is created from different parts to make something new,11,4,4.33,hard
priority,something that is important and must be done before other things,8,4,4.41,hard
path,track made with stones/by walking over the ground,4,1,4.71,easy
patient,not getting annoyed when things take a long time,7,2,4.77,medium
pattern,regular repeated behavior,7,2,4.56,medium
pause,to stop doing for a while before continuing,5,1,4.0,hard
fact,something that is known or proved to be true,4,1,5.41,easy
payment,amount of money that is paid for something,7,2,4.66,medium
peace,time when there is no war or fighting,5,1,5.02,easy
preference,something that is liked or wanted more than another,10,3,4.11,hard
